typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19900101","1990","52","1990","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"579745536","579745536","0","true","false",
"C","A","19900101","1990","52","1990","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1631664000","1631664000","0","true","false",
"C","A","19910101","1991","52","1991","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"541662080","541662080","0","true","false",
"C","A","19910101","1991","52","1991","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1661929856","1661929856","0","true","false",
"C","A","19920101","1992","52","1992","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"730022659","730022659","0","true","false",
"C","A","19920101","1992","52","1992","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1943703735","1943703735","0","true","false",
"C","A","19930101","1993","52","1993","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"755559168","755559168","0","true","false",
"C","A","19930101","1993","52","1993","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1830525696","1830525696","0","true","false",
"C","A","19940101","1994","52","1994","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","61","Apparel and clothing accessories; knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"831640384","831640384","0","true","false",
"C","A","19940101","1994","52","1994","699","IND","India","X","Export","0","W00","World","0","W00","World","H0","HS","true","62","Apparel and clothing accessories; not knitted or crocheted","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2450425856","2450425856","0","true","false",
