Date,Value_2016base
01-01-1970,2.69248237
01-02-1970,2.69248237
01-03-1970,2.7229059
01-04-1970,2.753329429
01-05-1970,2.783752959
01-06-1970,2.814176489
01-07-1970,2.829388253
01-08-1970,2.844600018
01-09-1970,2.859811783
01-10-1970,2.875023548
01-11-1970,2.875023548
01-12-1970,2.829388253
01-01-1971,2.798964724
01-02-1971,2.798964724
01-03-1971,2.798964724
01-04-1971,2.798964724
01-05-1971,2.798964724
01-06-1971,2.844600018
01-07-1971,2.890235313
01-08-1971,2.951082372
01-09-1971,2.981505901
01-10-1971,2.981505901
01-11-1971,2.996717666
01-12-1971,2.966294137
01-01-1972,2.951082372
01-02-1972,2.935870607
01-03-1972,2.951082372
01-04-1972,2.966294137
01-05-1972,2.981505901
01-06-1972,3.057564725
01-07-1972,3.118411785
01-08-1972,3.148835314
01-09-1972,3.164047079
01-10-1972,3.179258844
01-11-1972,3.194470609
01-12-1972,3.194470609
01-01-1973,3.194470609
01-02-1973,3.240105903
01-03-1973,3.285741197
01-04-1973,3.361800022
01-05-1973,3.468282375
01-06-1973,3.544341199
01-07-1973,3.696458847
01-08-1973,3.757305906
01-09-1973,3.772517671
01-10-1973,3.86378826
01-11-1973,3.939847084
01-12-1973,3.955058849
01-01-1974,4.015905908
01-02-1974,4.061541202
01-03-1974,4.183235321
01-04-1974,4.304929439
01-05-1974,4.472258852
01-06-1974,4.578741206
01-07-1974,4.730858854
01-08-1974,4.882976502
01-09-1974,5.080729444
01-10-1974,5.095941209
01-11-1974,5.03509415
01-12-1974,4.959035326
01-01-1975,4.959035326
01-02-1975,4.943823561
01-03-1975,4.882976502
01-04-1975,4.913400031
01-05-1975,4.974247091
01-06-1975,4.989458855
01-07-1975,4.928611796
01-08-1975,4.882976502
01-09-1975,4.852552972
01-10-1975,4.806917678
01-11-1975,4.791705913
01-12-1975,4.65480003
01-01-1976,4.533105911
01-02-1976,4.411411793
01-03-1976,4.350564734
01-04-1976,4.396200028
01-05-1976,4.411411793
01-06-1976,4.426623558
01-07-1976,4.517894147
01-08-1976,4.533105911
01-09-1976,4.593952971
01-10-1976,4.6243765
01-11-1976,4.65480003
01-12-1976,4.65480003
01-01-1977,4.670011795
01-02-1977,4.715647089
01-03-1977,4.746070619
01-04-1977,4.761282383
01-05-1977,4.837341207
01-06-1977,4.867764737
01-07-1977,4.943823561
01-08-1977,4.974247091
