Year,Linked Series of the Wholesale Price Index (WPI) (Derived by EPWRF) : Manufacture of Wearing Apparel
1952-53,6.2
1953-54,6.1
1954-55,6.4
1955-56,6.3
1956-57,6.6
1957-58,6.6
1958-59,6.4
1959-60,6.6
1960-61,7.8
1961-62,7.7
1962-63,7.8
1963-64,8
1964-65,8.2
1965-66,9
1966-67,9.5
1967-68,9.5
1968-69,10
1969-70,10.7
1970-71,11.6
1971-72,12.8
1972-73,13.1
1973-74,15.7
1974-75,18.6
1975-76,17.2
1976-77,18.1
1977-78,20.1
1978-79,20.8
1979-80,23.7
1980-81,24.8
1981-82,26.1
1982-83,27.3
1983-84,28.5
1984-85,31.3
1985-86,31.2
1986-87,30.2
1987-88,33
1988-89,36.4
1989-90,41.3
1990-91,44.6
1991-92,49.1
1992-93,52.3
1993-94,57.3
1994-95,67.8
1995-96,74.2
1996-97,68.1
1997-98,66.2
1998-99,65.6
1999-00,65.9
2000-01,68.7
2001-02,68.4
2002-03,70.1
2003-04,75.5
2004-05,77.8
2005-06,77
2006-07,78.4
2007-08,79
2008-09,80.3
2009-10,83
2010-11,93.1
2011-12,100
2012-13,112.2
2013-14,117.7
2014-15,122.6
2015-16,128.7
2016-17,131
2017-18,136.9
2018-19,138.8
2019-20,138.3
2020-21,138.6
2021-22,143.1
2022-23,148.7
2023-24,150.8
2024-25,153.4
