Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Supervisory and Managerial Staff,Total Emoluments,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital
1980 - 1981,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1980 - 1981,Andhra Pradesh,-1.3,1.32,0.34,0.37,,0.41,,2.15,,,,,,,0.42,1.47,1.11,13.46,,,2.23,,14.12,25.9,0.69,9.36,13.05,219.0,9.0,,67.0,197.0,,,,,,,18.32,0.08,11.97,25.2,35.53,1.42,1.46,,,7.85,29.74,227.0,,43.2,,,,6.63,23.05
1980 - 1981,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Assam,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1980 - 1981,Bihar,0.62,8.31,-0.04,8.89,,0.42,,3.76,,,,,,,3.2,8.93,0.04,12.28,,,0.0,,39.42,14.37,-0.38,11.68,11.86,375.0,3.0,,108.0,313.0,,,,,,,0.0,0.06,35.66,28.81,24.75,7.68,0.17,,,3.93,18.18,379.0,,30.46,,,,0.17,25.05
1980 - 1981,Chandigarh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1980 - 1981,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Delhi,94.26,66.98,80.06,241.3,,93.59,,803.08,,,,,,,88.35,463.73,222.43,1728.66,,,352.37,,2786.92,7436.29,128.84,1142.26,1635.06,11123.0,325.0,,3242.0,8555.0,,,,,,,2550.75,91.49,1983.84,1631.07,12502.63,327.65,140.43,,,723.11,12966.19,11418.0,,14694.85,,,,472.22,827.99
1980 - 1981,Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,"Goa, Daman & Diu",-6.5,7.06,6.47,7.02,,0.9,,8.06,,,,,,,0.34,7.39,0.36,21.54,,,4.53,,39.85,85.64,-0.54,14.93,20.63,208.0,3.0,,62.0,175.0,,,,,,,28.06,1.02,31.79,13.02,102.25,5.44,1.17,,,8.47,90.38,210.0,,111.92,,,,6.07,4.96
1980 - 1981,Gujarat,41.47,63.41,5.67,110.55,,47.04,,488.62,,,,,,,25.84,202.68,92.12,457.35,,,98.88,,1029.63,1868.79,45.08,283.96,410.31,5540.0,156.0,,1672.0,4797.0,,,,,,,752.25,14.07,541.01,764.47,2402.2,70.71,27.47,,,199.18,2378.62,5671.0,,2835.97,,,,143.21,275.85
1980 - 1981,Haryana,-3.2,9.15,6.86,12.81,,11.2,,75.44,,,,,,,20.87,20.39,7.58,88.52,,,13.94,,140.57,142.25,-3.62,62.67,77.33,533.0,7.0,,162.0,424.0,,,,,,,89.2,4.75,65.13,99.68,202.29,25.82,0.72,,,32.11,226.87,533.0,,315.39,,,,20.59,24.24
1980 - 1981,Himachal Pradesh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1980 - 1981,Jammu & Kashmir,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1980 - 1981,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Karnataka,31.13,78.79,0.0100000000000001,109.94,,15.84,,128.55,,,,,,,13.44,140.14,30.2,398.72,,,41.86,,380.02,930.63,14.35,310.17,382.87,6129.0,127.0,,1827.0,5520.0,,,,,,,474.41,20.39,251.47,181.16,1335.85,51.68,30.84,,,238.1,1462.58,6248.0,,1861.3,,,,187.77,52.61
1980 - 1981,Kerala,0.58,2.11,1.48,4.16,,2.95,,25.14,,,,,,,5.11,5.15,0.99,34.01,,,7.71,,57.67,94.96,-1.97,22.79,31.06,555.0,15.0,,157.0,432.0,,,,,,,59.47,4.12,32.53,47.08,135.59,-1.2,0.56,,,19.86,106.79,563.0,,140.8,,,,13.61,21.94
1980 - 1981,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980 - 1981,Madhya Pradesh,7.33,-97.17,2.06,-87.79,,2.94,,26.78,,,,,,,4.37,-85.99,1.8,55.66,,,8.37,,93.74,203.19,-1.14,43.65,52.7,695.0,16.0,,188.0,583.0,,,,,,,99.49,1.9,66.96,59.7,261.08,18.56,0.69,,,23.18,225.64,711.0,,281.3,,,,17.71,32.92
